Week,date,Negative,Positive,Anger,Fear,Sadness,Joy,new_hosp_symptoms,new_intensive_care,new_hosp,new_deceased,new_positives,new_vaccination
2021-W32,2021-08-15,0.28268156424581004,0.2666666666666667,0.27666955767562873,0.3105882352941176,0.2627118644067796,0.2136752136752137,0.5915816693003878,0.5550510783200908,0.5845640169513291,0.04137492043284532,0.6138819591372723,0.2602623850391699
2021-W33,2021-08-22,0.32346368715083795,0.275,0.29575021682567215,0.3670588235294117,0.35169491525423724,0.27350427350427353,0.6022123258152563,0.5584562996594779,0.5944522922820085,0.07542966263526416,0.5516594562162503,0.10989236751728249
2021-W34,2021-08-29,0.32737430167597764,0.30000000000000004,0.32090199479618386,0.34352941176470586,0.2923728813559322,0.3162393162393163,0.5678781784226403,0.5187287173666288,0.5592654424040067,0.08274984086569065,0.5497584235955411,0.2115781113522951
2021-W35,2021-09-05,0.41675977653631285,0.21666666666666665,0.4588031222896791,0.32235294117647056,0.326271186440678,0.24786324786324793,0.5341186611119091,0.5119182746878547,0.5252343649672531,0.10821133036282624,0.5133609119904001,0.23268476243476377
2021-W36,2021-09-12,0.39441340782122897,0.33333333333333337,0.41023417172593235,0.3552941176470588,0.35593220338983045,0.32478632478632485,0.5214767993104438,0.45629965947786605,0.513162963914216,0.10248249522597072,0.47724129219692424,0.16195653497039375
2021-W37,2021-09-19,0.3100558659217877,0.16666666666666666,0.3495229835212489,0.2188235294117647,0.24152542372881355,0.1880341880341881,0.4999281712397643,0.45062429057888764,0.4914601258507769,0.09834500318268619,0.44728581804402057,0.14975391497853807
2021-W38,2021-09-26,0.2184357541899441,0.275,0.217692974848222,0.23529411764705882,0.21610169491525424,0.1880341880341881,0.4839821864674615,0.41316685584562995,0.4723256709901117,0.09707192870782941,0.4266081409669372,0.19750042662086642
2021-W39,2021-10-03,0.13575418994413407,0.06666666666666668,0.11708586296617515,0.16470588235294115,0.13559322033898305,0.11965811965811968,0.44418905329694003,0.4188422247446084,0.4373956594323873,0.0802036919159771,0.4389616951400512,0.07466611605970902
2021-W40,2021-10-10,0.14972067039106146,0.23333333333333336,0.1326973113616652,0.17882352941176471,0.17796610169491525,0.2136752136752137,0.4499353541157879,0.40068104426787743,0.4404777192757159,0.05983450031826861,0.45443521647140556,0.032431798654243726
2021-W41,2021-10-17,0.3184357541899441,0.15,0.35732870771899394,0.19294117647058823,0.31355932203389825,0.17094017094017094,0.4658813388880907,0.3870601589103292,0.4531912161294465,0.05028644175684278,0.46071304512584077,0.11905995039484535
2021-W42,2021-10-24,0.18044692737430168,0.1,0.15091066782307025,0.23764705882352938,0.20338983050847456,0.10256410256410259,0.48441315902887505,0.44040862656072643,0.4742519583921921,0.06460852959898153,0.462273028704961,0.04130172304301605
2021-W43,2021-10-31,0.21452513966480447,0.1416666666666667,0.18300086730268864,0.2611764705882353,0.27118644067796605,0.12820512820512825,0.5556672891825887,0.4483541430192962,0.5410299216643123,0.06110757479312539,0.5496068462437238,0.015593882658705871
2021-W44,2021-11-07,0.35698324022346367,0.2583333333333333,0.380745880312229,0.2964705882352941,0.3008474576271186,0.2905982905982906,0.581525642867404,0.5141884222474461,0.5718505200975985,0.06460852959898153,0.602999968421385,0.0
2021-W45,2021-11-14,0.26927374301675977,0.21666666666666665,0.27059843885516044,0.28705882352941176,0.22457627118644066,0.17948717948717952,0.5773595747737393,0.5266742338251986,0.5686400410941312,0.09802673456397198,0.6516562983547541,0.07946229923267961
2021-W46,2021-11-21,0.2949720670391061,0.4083333333333333,0.2888117953165654,0.2917647058823529,0.288135593220339,0.4444444444444445,0.6155724752190777,0.52894438138479,0.6030563760113009,0.10184595798854232,0.6976789718002968,0.12334694462518575
2021-W47,2021-11-28,0.4346368715083799,0.41666666666666674,0.39462272333044235,0.5011764705882352,0.4703389830508474,0.4188034188034188,0.6042235311018531,0.5925085130533485,0.600102735328111,0.13208147676639084,0.7491710613572489,0.3371885007359927
2021-W48,2021-12-05,0.3553072625698324,0.4,0.3183000867302689,0.4141176470588235,0.4067796610169492,0.38461538461538464,0.6062347363884498,0.5698070374574347,0.5993322203672788,0.1397199236155315,0.7989010641993242,0.6778105242946515
2021-W49,2021-12-12,0.2731843575418994,0.21666666666666665,0.24457935819601037,0.3670588235294117,0.19915254237288135,0.25641025641025644,0.6733227984484986,0.5641316685584563,0.6586618723513549,0.1763208147676639,0.8451321565036157,0.7723005579029592
2021-W50,2021-12-19,0.4039106145251396,0.35,0.424978317432784,0.30117647058823527,0.44491525423728817,0.358974358974359,0.6631231144950437,0.6140749148694665,0.6551945550276101,0.2316995544239338,1.0,0.8881175006884501
2021-W51,2021-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.6328113776756212,0.5107832009080591,0.6161551303454476,0.11266709102482494,0.7666719297691603,0.516009938486209
